SKU,ASIN,UPC,Category,Title,Condition, Price ,Classification,AmazonSalesRank,AmazonLowestPrice,Brand,Manufacturer,ManufacturerPartNum,UserData10,UserData11,UserData2,UserData3,UserData4,UserData5,UserData6,UserData7,UserData8,UserData9,Weight,Ship wt, Est Margin ,% Margin
mon0000173496,B00HX3OO3G,886227067466,Miscellaneous,Asus TPM/FW3.19 The Trusted Platform (TPM) Module for Asus Motherboards,New, $ 28.38 ,AZ eCommerce One,,12.72,Generic,Generic,TPM-FW319,12.5,RETAIL, $ 10.81 ,52499,TPM-FW319,TPM/FW3.19,ASUS,Accessory,Asus TPM/FW3.19 The Trusted Platform (TPM) Module for Asus Motherboards,0.2,,0, $ 11.31 ,105%
mon0000175256,B00HZ4L50S,884102025198,Miscellaneous,Cosmos SE Prem Mid Tower Case,New, $ 365.78 ,AZ eCommerce One,,185.72,Generic,Generic,884102025198,6624,RETAIL, $ 154.50 ,97240,CA-COS5000,COS-5000-KWN1,Cooler Master,Tower Case,Cooler Master Cosmos SE No Power Supply ATX Full Tower Case (Midnight Black),26,,0, $ 154.41 ,100%
mon0000175150,B00EOGURG8,672042130214,Miscellaneous,Supermicro Storage Mounting Kit MCP-220-93903-0N,New, $ 59.99 ,AZ eCommerce One,,59.99,Supermicro,Supermicro,MCP-220-93903-0N,,BULK, $ 25.00 ,94276,CA-MCP939N,MCP-220-93903-0N,Supermicro,Accessory,"Supermicro MCP-220-93903-0N 2.5 inch HDD Mounting Kit for SC939 (Drive Plate, Mylar, Screws)",0.5,0.01,1, $ 23.44 ,94%
mon0000174524,B002NJKRRM,672042018970,Miscellaneous,Supermicro CBL-0223L 2500W/2000W Power Extension Cord,New, $ 34.99 ,AZ eCommerce One,,34.99,Supermicro,Supermicro,CBL-0223L,,BULK, $ 15.00 ,75204,CA-CBL223L,CBL-0223L,Supermicro,Power Cable,Supermicro CBL-0223L Power Extension Cable,0.3,0,0, $ 12.74 ,85%
mon0000174853,B00HQP9878,878294025784,Miscellaneous,iMicro CA-I102USB 350W 20+4pin ATX Mid Tower Case w/ Keyboard/ Mouse/ Speaker (Black),New, $ 66.58 ,AZ eCommerce One,,58.63,Generic,Generic,CA-I102USB,2606.4,RETAIL, $ 30.90 ,91872,CA-I102USB,CA-I102USB ENGLISH KEYBOARD,iMicro,Tower Case,iMicro CA-I102USB 350W 20+4pin ATX Mid Tower Case w/ Keyboard/ Mouse/ Speaker (Black),16.27,,0, $ 23.69 ,77%
mon0000165309,B00IF0RFSC,058231310764,OfficeProducts,"SATA,24X NERO,BLACK,RETAIL (GH24NSB0R) -",New, $ 54.15 ,AZ eCommerce One,,54.15,LG,LG ELECRONICS USA,AAC0003-3666662,,RETAIL, $ 24.98 ,33315,GH24NSB0R,GH24NSB0R,LG Electronics,Half Height DVD,"LG Electronics GH24NSB0R 24X SATA Super-Multi DVD Internal Rewriter w/ M-Disc Support, Retail (Black)",2.2,,0, $ 19.05 ,76%
mon0000175109,B004IDB4IC,672042011131,Miscellaneous,"Acc Rsc-R1Uu-2E8 1U Left 2 Pci-E X8 Sc815U , Sc812U",New, $ 37.86 ,AZ eCommerce One,467299,37.86,Supermicro,Supermicro,RSC-R1UU-2E8,,RETAIL, $ 18.00 ,94470,CA-R1UU2E8,RSC-R1UU-2E8,Supermicro,Riser Card,Supermicro RSC-R1UU-2E8 1U Left 2-Slot PCI-Express x8 Riser Card,0.5,,0, $ 12.18 ,68%
mon0000173964,B00769VJ44,672042036202,Miscellaneous,MBD-X7SLM+ -O Motherboard,New, $ 199.99 ,AZ eCommerce One,,199.99,Supermicro,Supermicro,X7SLM-O,,RETAIL, $ 100.42 ,57997,MB-X7SLM+,X7SLM+-O,Supermicro,LGA 775,"Supermicro X7SLM+-O LGA775/ Intel 945GC/ SATA2/ V&2GbE/ MATX Motherboard, Retail",3.5,,0, $ 67.57 ,67%
mon0000174741,B00FF7VMDW,878294034311,Miscellaneous,iMicro MO-1838BK USB Optical Wired Mouse (Black),New, $ 12.60 ,AZ eCommerce One,,12.6,iMicro,iMicro,MO-1838BK,,BULK, $ 4.89 ,86003,MO-1838BK,MO-1838BK,iMicro,Mouse,iMicro MO-1838BK USB Wired Optical Mouse (Black),0.28,0.29,1, $ 3.27 ,67%
mon0000174894,B00F4APY5W,886027008997,Miscellaneous,BitFenix Spectre PWM 140mm Red LED Case Fan,New, $ 31.22 ,AZ eCommerce One,,31.22,BitFenix,Bitfenix,BFFBLFP14025RRP,,RETAIL, $ 14.42 ,92054,FAN-P1425R,BFF-BLF-P14025R-RP,BitFenix,140mm,BitFenix Spectre PWM 140mm Red LED Case Fan,0.44,0.44,1, $ 9.57 ,66%
mon0000173850,B0014J050G,672042025039,Miscellaneous,X7DCA-3 Workstation Board,New, $ 708.91 ,AZ eCommerce One,,699.99,SUPERMICRO BOARDS,Supermicro,X7DCA-3,9396,RETAIL, $ 362.00 ,56064,MB-X7DCA3,X7DCA-3-O,Supermicro,LGA 771,Supermicro X7DCA-3 Dual LGA771 Xeon/ Intel 5100/ FSB1333/ A&2GbE/ E-ATX Server Motherboard,5,5.1,6, $ 235.27 ,65%
mon0000175272,B0052LAVWE,832199002097,Miscellaneous,Arctic Silver Ceramique 2 Thermal Compound 25g,New, $ 14.54 ,AZ eCommerce One,,9.98,Arctic Silver 5,AS-CERAMIQUE2-25G,832199002097,,BULK, $ 6.18 ,96268,FAN-CMQ22G,CMQ2-25G,Arctic Silver,Thermal Paste,Arctic Silver Ceramique High-Density Thermal Compound 22g/8cc Tube,0.06,0.13,1, $ 3.63 ,59%
mon0000173856,B004FDTYIM,878294016324,Miscellaneous,Super Talent 16GB CFast Storage Card (MLC),New, $ 107.96 ,AZ eCommerce One,,107.96,Super Talent,SUPER TALENT,CFAST16GM,,RETAIL, $ 56.65 ,10001,CFAST16GM,CFAST16GM,SUPER TALENT,CFast,Super Talent 16GB CFast Storage Card (MLC),0.07,,0, $ 33.12 ,58%
mon0000175068,B003Y3OE34,672042025206,Miscellaneous,Supermicro 40X56MM 13.3K RPM PWM FAN W/ CFAN 4PIN FOR SC808,New, $ 49.99 ,AZ eCommerce One,,49.99,Supermicro,Supermicro,FAN-0085L4,,BULK, $ 25.00 ,94437,CA-FAN85L4,FAN-0085L4,Supermicro,40mm,Supermicro FAN-0085L4 40x40x56mm 1U 4-pin PWM Cooling Fan,1.5,1.5,2, $ 14.39 ,58%
mon0000173770,B00589GNKO,672042032860,Miscellaneous,"SUPERMICRO PDB-PT825-8820 2U, 20-Pin Power Distributor X8 support",New, $ 149.99 ,AZ eCommerce One,369156,149.99,Supermicro,Supermicro,PDB-PT825-8820,108,BULK, $ 80.00 ,55772,PDB-PT8525,PDB-PT825-8820,Supermicro,Power Distribution,Supermicro PDB-PT825-8820 2U 20-Pin Power Distributor,1,,0, $ 45.49 ,57%
